Tarih,Açılış,Yüksek,Düşük,Kapanış,Düzeltilmiş_Kapanış,Hacim
29/10/2015,1.762500048,1.762500048,1.762500048,1.762500048,1.685743332,0
30/10/2015,1.737499952,1.756250024,1.731250048,1.743749976,1.667809963,3009952
02/11/2015,1.856250048,1.862499952,1.84375,1.850000024,1.769433022,4160664
03/11/2015,1.84375,1.84375,1.825000048,1.837499976,1.757477045,1747664
04/11/2015,1.837499976,1.850000024,1.837499976,1.84375,1.763455033,2268864
05/11/2015,1.831249952,1.837499976,1.818750024,1.825000048,1.745521545,1380696
06/11/2015,1.806249976,1.8125,1.793750048,1.806249976,1.727588058,2603848
09/11/2015,1.831249952,1.850000024,1.8125,1.837499976,1.757477045,6007696
10/11/2015,1.837499976,1.84375,1.818750024,1.818750024,1.739543557,1171920
11/11/2015,1.831249952,1.837499976,1.8125,1.818750024,1.739543557,1289576
12/11/2015,1.84375,1.856250048,1.831249952,1.84375,1.763455033,4744264
13/11/2015,1.868749976,1.881250024,1.850000024,1.875,1.793344259,4829600
16/11/2015,1.956249952,2.037499905,1.943750024,2.037499905,1.948766947,25653720
17/11/2015,2.049999952,2.056250095,1.96875,1.981250048,1.89496696,6570744
18/11/2015,2.018749952,2.018749952,1.931249976,1.950000048,1.865077972,4565632
19/11/2015,1.975000024,1.981250048,1.950000048,1.956249952,1.871055484,3757560
20/11/2015,1.962499976,1.981250048,1.956249952,1.96875,1.883011341,3185520
23/11/2015,2.018749952,2.037499905,2.0,2.018749952,1.930833459,7208096
24/11/2015,2.0,2.025000095,1.943750024,1.981250048,1.89496696,6552512
25/11/2015,2.03125,2.0625,2.03125,2.0625,1.972678661,5282344
26/11/2015,2.037499905,2.049999952,2.0,2.018749952,1.930833459,4287104
27/11/2015,2.018749952,2.037499905,2.012500048,2.012500048,1.924855828,2071624
30/11/2015,2.012500048,2.127500057,2.007499933,2.076250076,1.985829711,16272752
01/12/2015,2.082499981,2.122499943,2.078749895,2.098750114,2.00734973,8094120
02/12/2015,2.106250048,2.142499924,2.075000048,2.075000048,1.984634161,7475288
03/12/2015,2.081249952,2.112499952,2.019999981,2.025000095,1.936811805,5127792
04/12/2015,2.037499905,2.047499895,2.001250029,2.042500019,1.953549623,3312840
07/12/2015,2.048749924,2.099999905,2.032500029,2.037499905,1.948766947,4555520
08/12/2015,2.049999952,2.068749905,2.027499914,2.029999971,1.941593885,4004696
09/12/2015,2.036250114,2.047499895,1.875,2.019999981,1.932029366,3722960
10/12/2015,2.02125001,2.037499905,1.929999948,1.963750005,1.878228903,3534840
11/12/2015,1.966249943,1.981250048,1.893749952,1.921249986,1.837579727,6372720
14/12/2015,1.926249981,1.993749976,1.918750048,1.934999943,1.850731015,5723784
15/12/2015,1.9375,1.998749971,1.9375,1.986250043,1.899749279,3632648
16/12/2015,1.987499952,2.036250114,1.972499967,2.033750057,1.945180774,6171536
17/12/2015,2.048749924,2.16624999,2.04124999,2.130000114,2.037239313,13852616
18/12/2015,2.131249905,2.150000095,2.087500095,2.101249933,2.009740114,4987832
21/12/2015,2.101249933,2.173749924,2.101249933,2.140000105,2.046803474,4497296
22/12/2015,2.141249895,2.152499914,2.112499952,2.144999981,2.051586151,2928536
23/12/2015,2.144999981,2.170000076,2.138750076,2.138750076,2.045607805,2570072
24/12/2015,2.147500038,2.15625,2.116250038,2.116250038,2.024087906,2600560
25/12/2015,2.116250038,2.160000086,2.089999914,2.13499999,2.042020798,3161032
28/12/2015,2.137500048,2.16624999,2.118750095,2.128750086,2.036043644,4829648
29/12/2015,2.128750086,2.147500038,2.125,2.131249905,2.038434267,1838944
30/12/2015,2.131249905,2.142499924,2.09375,2.111249924,2.019305468,3025656
31/12/2015,2.118750095,2.130000114,2.09375,2.108750105,2.016914368,2552736
01/01/2016,2.108750105,2.108750105,2.108750105,2.108750105,2.016914368,0
04/01/2016,2.108750105,2.164999962,2.079999924,2.140000105,2.046803474,4181712
05/01/2016,2.126250029,2.188750029,2.126250029,2.167500019,2.073105574,11664368
06/01/2016,2.168750048,2.196249962,2.163749933,2.183749914,2.088647604,4970216
07/01/2016,2.184999943,2.192500114,2.152499914,2.1875,2.092234612,4780336
08/01/2016,2.1875,2.234999895,2.186249971,2.224999905,2.128101826,4234128
11/01/2016,2.224999905,2.277499914,2.220000029,2.268749952,2.169946194,4559968
12/01/2016,2.269999981,2.349999905,2.268749952,2.345000029,2.242875576,7101600
13/01/2016,2.352499962,2.38499999,2.303750038,2.311249971,2.210595369,10019312
14/01/2016,2.318749905,2.34375,2.269999981,2.278749943,2.179510832,4409768
15/01/2016,2.28125,2.305000067,2.237499952,2.263750076,2.165163994,3582728
18/01/2016,2.268749952,2.296250105,2.237499952,2.241250038,2.143643856,2773344
19/01/2016,2.247499943,2.311249971,2.247499943,2.292500019,2.192661762,3791288
20/01/2016,2.277499914,2.278749943,2.237499952,2.242500067,2.144839764,5081352
21/01/2016,2.246249914,2.251250029,2.147500038,2.173749924,2.079082966,4694952
22/01/2016,2.173749924,2.173749924,2.173749924,2.173749924,2.079082966,0
25/01/2016,2.238749981,2.342499971,2.238749981,2.342499971,2.240484476,5005752
26/01/2016,2.337500095,2.339999914,2.307499886,2.318749905,2.217768669,5152824
27/01/2016,2.318749905,2.329999924,2.292500019,2.292500019,2.192661762,4454272
28/01/2016,2.305000067,2.308749914,2.258749962,2.25999999,2.161577463,4507352
29/01/2016,2.268749952,2.287499905,2.262500048,2.262500048,2.163968801,3732280
01/02/2016,2.268749952,2.269999981,2.224999905,2.247499943,2.149621487,4470488
02/02/2016,2.25,2.292500019,2.241250038,2.256249905,2.157990456,2523568
03/02/2016,2.256249905,2.28125,2.241250038,2.262500048,2.163968801,4982368
04/02/2016,2.28125,2.286250114,2.237499952,2.237499952,2.140057564,2152456
05/02/2016,2.24000001,2.253750086,2.22874999,2.237499952,2.140057564,2335296
08/02/2016,2.237499952,2.244999886,2.186249971,2.190000057,2.094625473,3335696
09/02/2016,2.1875,2.198750019,2.118750095,2.170000076,2.075496674,3837528
10/02/2016,2.172499895,2.20875001,2.170000076,2.1875,2.092234612,1968480
11/02/2016,2.183749914,2.183749914,2.131249905,2.160000086,2.065932035,2159176
12/02/2016,2.160000086,2.162499905,2.141249895,2.141249895,2.047998667,1426896
15/02/2016,2.150000095,2.160000086,2.108750105,2.112499952,2.020500898,4700768
16/02/2016,2.118750095,2.140000105,2.09375,2.09375,2.00256753,2708024
17/02/2016,2.09375,2.150000095,2.0625,2.150000095,2.056368113,3531248
18/02/2016,2.131249905,2.171250105,2.125,2.163749933,2.06951952,3560824
19/02/2016,2.160000086,2.164999962,2.116250038,2.150000095,2.056368113,2433336
22/02/2016,2.180000067,2.194999933,2.162499905,2.17750001,2.082670212,5505920
23/02/2016,2.193749905,2.217499971,2.178750038,2.19749999,2.101799011,6079848
24/02/2016,2.212500095,2.212500095,2.193749905,2.194999933,2.099407911,3735256
25/02/2016,2.194999933,2.233750105,2.194999933,2.212500095,2.116146564,2519888
26/02/2016,2.214999914,2.224999905,2.193749905,2.193749905,2.098212242,2278264
29/02/2016,2.196249962,2.20875001,2.186249971,2.203749895,2.107777357,2063216
01/03/2016,2.210000038,2.248749971,2.203749895,2.248749971,2.150816679,4666448
02/03/2016,2.262500048,2.306250095,2.262500048,2.282500029,2.183098078,5799208
03/03/2016,2.285000086,2.387500048,2.275000095,2.275000095,2.175923824,13567624
04/03/2016,2.277499914,2.278749943,2.21875,2.263750076,2.165163994,3538576
07/03/2016,2.278749943,2.293750048,2.248749971,2.263750076,2.165163994,2757464
08/03/2016,2.261250019,2.261250019,2.112499952,2.143749952,2.050390244,22170760
09/03/2016,2.15625,2.161250114,2.108750105,2.143749952,2.050390244,9923752
10/03/2016,2.148750067,2.162499905,2.137500048,2.141249895,2.047998667,7994952
11/03/2016,2.150000095,2.168750048,2.14625001,2.151249886,2.057562828,7216184
14/03/2016,2.148750067,2.158750057,2.143749952,2.148750067,2.055171967,4211128
15/03/2016,2.153749943,2.164999962,2.143749952,2.143749952,2.050390244,5592776
16/03/2016,2.151249886,2.163749933,2.144999981,2.150000095,2.056368113,3860776
17/03/2016,2.161250114,2.174999952,2.157500029,2.170000076,2.075496674,5384856
18/03/2016,2.170000076,2.212500095,2.162499905,2.212500095,2.116146564,9663520
21/03/2016,2.212500095,2.266249895,2.194999933,2.256249905,2.157990456,7627632
22/03/2016,2.255000114,2.256249905,2.206249952,2.24000001,2.142448425,5587096
23/03/2016,2.237499952,2.242500067,2.162499905,2.168750048,2.074301004,6003048
24/03/2016,2.164999962,2.234999895,2.151249886,2.234999895,2.137665987,6366376
25/03/2016,2.286250114,2.311249971,2.255000114,2.256249905,2.157990456,14028656
28/03/2016,2.25999999,2.287499905,2.258749962,2.262500048,2.163968801,2666520
29/03/2016,2.27125001,2.286250114,2.25999999,2.262500048,2.163968801,4923640
30/03/2016,2.275000095,2.307499886,2.266249895,2.276249886,2.177119255,7279152
31/03/2016,2.279999971,2.303750038,2.269999981,2.287499905,2.187879801,5482728
01/04/2016,2.287499905,2.307499886,2.273750067,2.285000086,2.185488462,8986880
04/04/2016,2.297499895,2.337500095,2.29124999,2.329999924,2.228529215,4306680
05/04/2016,2.329999924,2.373749971,2.329999924,2.338749886,2.236897707,4401328
06/04/2016,2.341249943,2.362499952,2.339999914,2.349999905,2.247657537,3391096
07/04/2016,2.363749981,2.38499999,2.347500086,2.356250048,2.253635645,5737088
08/04/2016,2.363749981,2.391249895,2.363749981,2.388750076,2.284720659,5227384
11/04/2016,2.398750067,2.407500029,2.393749952,2.401249886,2.296676159,3320424
12/04/2016,2.401249886,2.5,2.39625001,2.481250048,2.373192549,10636472
13/04/2016,2.505000114,2.587500095,2.505000114,2.549999952,2.438948154,13961000
14/04/2016,2.555000067,2.5625,2.483750105,2.512500048,2.40308094,5380656
15/04/2016,2.525000095,2.549999952,2.50999999,2.512500048,2.40308094,5021824
18/04/2016,2.519999981,2.519999981,2.49000001,2.49000001,2.381561041,3637576
19/04/2016,2.505000114,2.50999999,2.470000029,2.497499943,2.388734818,6552808
20/04/2016,2.5,2.519999981,2.483750105,2.498749971,2.389929533,4357592
21/04/2016,2.505000114,2.517499924,2.46875,2.481250048,2.373192549,3360912
22/04/2016,2.496249914,2.5,2.480000019,2.49000001,2.381561041,2941488
25/04/2016,2.477499962,2.497499943,2.477499962,2.483750105,2.375582457,1650680
26/04/2016,2.493750095,2.494999886,2.483750105,2.483750105,2.375582457,1771168
27/04/2016,2.486249924,2.575000048,2.484999895,2.515000105,2.405472279,12400824
28/04/2016,2.529999971,2.539999962,2.507499933,2.507499933,2.398298979,2699144
29/04/2016,2.515000105,2.519999981,2.491250038,2.494999886,2.386343002,2865176
02/05/2016,2.5,2.50999999,2.472500086,2.472500086,2.364823341,3218632
03/05/2016,2.472500086,2.49000001,2.424999952,2.441250086,2.334933996,4166552
04/05/2016,2.441250086,2.441250086,2.318749905,2.373749971,2.270373583,6098824
05/05/2016,2.252500057,2.373749971,2.25,2.35374999,2.251244068,10759232
06/05/2016,2.34375,2.444999933,2.338749886,2.443749905,2.337324381,4004352
09/05/2016,2.450000048,2.525000095,2.450000048,2.481250048,2.373192549,3653936
10/05/2016,2.487499952,2.5,2.460000038,2.476249933,2.368409872,2688712
11/05/2016,2.480000019,2.502500057,2.476249933,2.491250038,2.382756233,3880744
12/05/2016,2.505000114,2.519999981,2.497499943,2.50999999,2.400689602,2915112
13/05/2016,2.512500048,2.537499905,2.487499952,2.5,2.391125441,3184008
