Tarih,Açılış,Yüksek,Düşük,Kapanış,Düzeltilmiş_Kapanış,Hacim
2021-11-22,1.3369230031967163,1.3369230031967163,1.3369230031967163,1.3369230031967163,1.3369230031967163,1182259
2021-11-23,1.4700000286102295,1.4700000286102295,1.4700000286102295,1.4700000286102295,1.4700000286102295,5425810
2021-11-24,1.6169229745864868,1.6169229745864868,1.6169229745864868,1.6169229745864868,1.6169229745864868,7518576
2021-11-25,1.77846097946167,1.77846097946167,1.77846097946167,1.77846097946167,1.77846097946167,7207902
2021-11-26,1.9553840160369873,1.9553840160369873,1.9553840160369873,1.9553840160369873,1.9553840160369873,64071007
2021-11-29,2.140000104904175,2.150768995285034,2.033845901489258,2.150768995285034,2.150768995285034,159204890
2021-11-30,2.2215380668640137,2.364614963531494,2.184614896774292,2.364614963531494,2.364614963531494,36637874
2021-12-01,2.57692289352417,2.5999999046325684,2.5384609699249268,2.5999999046325684,2.5999999046325684,8275098
2021-12-02,2.859999895095825,2.859999895095825,2.859999895095825,2.859999895095825,2.859999895095825,1224340
2021-12-03,3.1446149349212646,3.1446149349212646,2.6230759620666504,2.7076919078826904,2.7076919078826904,333091655
2021-12-06,2.6569230556488037,2.792306900024414,2.436923027038574,2.436923027038574,2.436923027038574,106730078
2021-12-07,2.384614944458008,2.680000066757202,2.3538460731506348,2.518460988998413,2.518460988998413,157122407
2021-12-08,2.5369229316711426,2.5753839015960693,2.3907690048217773,2.412307024002075,2.412307024002075,47311628
2021-12-09,2.412307024002075,2.6138460636138916,2.203075885772705,2.446152925491333,2.446152925491333,125156876
2021-12-10,2.4692299365997314,2.4769229888916016,2.3153839111328125,2.369230031967163,2.369230031967163,59553533
2021-12-13,2.4600000381469727,2.6061530113220215,2.35076904296875,2.6061530113220215,2.6061530113220215,108909125
2021-12-14,2.6323070526123047,2.8661530017852783,2.615384101867676,2.8661530017852783,2.8661530017852783,92394627
2021-12-15,2.961538076400757,3.12923002243042,2.638461112976074,2.638461112976074,2.638461112976074,159151200
2021-12-16,2.638461112976074,2.783076047897339,2.5461530685424805,2.684614896774292,2.684614896774292,68240653
2021-12-17,2.6984610557556152,2.71384596824646,2.4169230461120605,2.4169230461120605,2.4169230461120605,46987655
2021-12-20,2.2692298889160156,2.4846150875091553,2.175384044647217,2.270768880844116,2.270768880844116,52155623
2021-12-21,2.4061529636383057,2.458461046218872,2.167691946029663,2.3953840732574463,2.3953840732574463,41214446
2021-12-22,2.3538460731506348,2.41538405418396,2.3153839111328125,2.3461530208587646,2.3461530208587646,16020459
2021-12-23,2.3707690238952637,2.4046149253845215,2.2523069381713867,2.355384111404419,2.355384111404419,17459000
2021-12-24,2.364614963531494,2.5276920795440674,2.3153839111328125,2.4230759143829346,2.4230759143829346,40217034
2021-12-27,2.533845901489258,2.6646149158477783,2.504615068435669,2.6646149158477783,2.6646149158477783,65881036
2021-12-28,2.5753839015960693,2.92769193649292,2.5369229316711426,2.9184610843658447,2.9184610843658447,19588621
2021-12-29,2.867691993713379,2.9184610843658447,2.6600000858306885,2.6938459873199463,2.6938459873199463,13340899
2021-12-30,2.6476919651031494,2.7815380096435547,2.57692289352417,2.640000104904175,2.640000104904175,10395944
2021-12-31,2.619999885559082,2.7261528968811035,2.5846149921417236,2.6523070335388184,2.6523070335388184,4855955
2022-01-03,2.6938459873199463,2.8369228839874268,2.638461112976074,2.8369228839874268,2.8369228839874268,8306311
2022-01-04,2.8307690620422363,2.9861528873443604,2.7815380096435547,2.8907690048217773,2.8907690048217773,9623705
2022-01-05,2.886152982711792,2.961538076400757,2.859999895095825,2.8907690048217773,2.8907690048217773,6354192
2022-01-06,2.838460922241211,2.8753840923309326,2.700000047683716,2.7723069190979004,2.7723069190979004,6127121
2022-01-07,2.7938458919525146,2.884614944458008,2.763076066970825,2.838460922241211,2.838460922241211,5163496
2022-01-10,2.8307690620422363,2.8415379524230957,2.76615309715271,2.770768880844116,2.770768880844116,4622007
2022-01-11,2.7584609985351562,2.795383930206299,2.638461112976074,2.6615378856658936,2.6615378856658936,6406855
2022-01-12,2.6876919269561768,2.6876919269561768,2.5369229316711426,2.561537981033325,2.561537981033325,8217339
2022-01-13,2.5553839206695557,2.615384101867676,2.5,2.530769109725952,2.530769109725952,3868995
2022-01-14,2.530769109725952,2.6876919269561768,2.461538076400757,2.64153790473938,2.64153790473938,5844137
2022-01-17,2.6353840827941895,2.684614896774292,2.561537981033325,2.655384063720703,2.655384063720703,3978546
2022-01-18,2.6230759620666504,2.63692307472229,2.5292301177978516,2.5323069095611572,2.5323069095611572,3255564
2022-01-19,2.5446150302886963,2.583076000213623,2.5123069286346436,2.5492300987243652,2.5492300987243652,3113396
2022-01-20,2.5492300987243652,2.6630759239196777,2.5446150302886963,2.640000104904175,2.640000104904175,4201509
2022-01-21,2.6338460445404053,2.7092299461364746,2.5969231128692627,2.686152935028076,2.686152935028076,5491603
2022-01-24,2.763076066970825,2.8461530208587646,2.6692299842834473,2.792306900024414,2.792306900024414,11124724
2022-01-25,2.7938458919525146,2.8307690620422363,2.70615291595459,2.792306900024414,2.792306900024414,5210543
2022-01-26,2.792306900024414,3.006153106689453,2.773845911026001,2.9815380573272705,2.9815380573272705,14779323
2022-01-27,2.9476919174194336,3.230768918991089,2.884614944458008,3.200000047683716,3.200000047683716,17800848
2022-01-28,3.1476919651031494,3.153846025466919,2.924614906311035,2.944614887237549,2.944614887237549,47729201
2022-01-31,2.9261529445648193,3.0415380001068115,2.8630759716033936,2.9000000953674316,2.9000000953674316,47289268
2022-02-01,2.912307024002075,2.929229974746704,2.8630759716033936,2.8707690238952637,2.8707690238952637,17846777
2022-02-02,2.8707690238952637,3.033845901489258,2.859999895095825,2.9553840160369873,2.9553840160369873,36572731
2022-02-03,2.9307689666748047,3.0123069286346436,2.876923084259033,2.9015378952026367,2.9015378952026367,21589113
2022-02-04,2.91538405418396,2.9230759143829346,2.852307081222534,2.8661530017852783,2.8661530017852783,11421202
2022-02-07,2.8661530017852783,2.9553840160369873,2.8307690620422363,2.864614963531494,2.864614963531494,17725097
2022-02-08,2.8615379333496094,2.8923070430755615,2.790769100189209,2.826153039932251,2.826153039932251,13746187
2022-02-09,2.9169230461120605,3.001538038253784,2.838460922241211,2.8661530017852783,2.8661530017852783,29406858
2022-02-10,2.8276920318603516,2.8753840923309326,2.795383930206299,2.8107690811157227,2.8107690811157227,13212966
2022-02-11,2.7384610176086426,2.8061530590057373,2.6938459873199463,2.7461531162261963,2.7461531162261963,14553344
2022-02-14,2.653846025466919,2.6923069953918457,2.5969231128692627,2.615384101867676,2.615384101867676,11613186
2022-02-15,2.615384101867676,2.6907689571380615,2.612307071685791,2.6307690143585205,2.6307690143585205,14215084
2022-02-16,2.6338460445404053,2.6692299842834473,2.57692289352417,2.6046149730682373,2.6046149730682373,10129886
2022-02-17,2.615384101867676,2.6600000858306885,2.561537981033325,2.569230079650879,2.569230079650879,11557039
2022-02-18,2.586153030395508,2.593846082687378,2.5246150493621826,2.552306890487671,2.552306890487671,7938788
2022-02-21,2.561537981033325,2.561537981033325,2.4676918983459473,2.4861528873443604,2.4861528873443604,8860423
2022-02-22,2.384614944458008,2.530769109725952,2.3307690620422363,2.4169230461120605,2.4169230461120605,14421472
2022-02-23,2.4384610652923584,2.4907689094543457,2.413846015930176,2.42769193649292,2.42769193649292,10898498
2022-02-24,2.196923017501831,2.2538459300994873,2.186152935028076,2.186152935028076,2.186152935028076,12201527
2022-02-25,2.1815381050109863,2.3461530208587646,2.153846025466919,2.319999933242798,2.319999933242798,13072267
2022-02-28,2.2676920890808105,2.3569231033325195,2.2338459491729736,2.2846150398254395,2.2846150398254395,8745308
2022-03-01,2.3153839111328125,2.429229974746704,2.2461531162261963,2.3784608840942383,2.3784608840942383,11203816
