Date,CPI
2015-10-01,102.5385
2015-11-01,103.2216
2015-12-01,103.4365
2016-01-01,105.3169
2016-02-01,105.2939
2016-03-01,105.2516
2016-04-01,106.0767
2016-05-01,106.6907
2016-06-01,107.1934
2016-07-01,108.4406
2016-08-01,108.1259
2016-09-01,108.3217
2016-10-01,109.8797
2016-11-01,110.4476
2016-12-01,112.2628
2017-01-01,115.0258
2017-02-01,115.9583
2017-03-01,117.1364
2017-04-01,118.6676
2017-05-01,119.1972
2017-06-01,118.8787
2017-07-01,119.0552
2017-08-01,119.673
2017-09-01,120.4521
2017-10-01,122.9541
2017-11-01,124.7885
2017-12-01,125.6442
2018-01-01,126.926
2018-02-01,127.8546
2018-03-01,129.1248
2018-04-01,131.5425
2018-05-01,133.6761
2018-06-01,137.1683
2018-07-01,137.9243
2018-08-01,141.0902
2018-09-01,149.9856
2018-10-01,153.9881
2018-11-01,151.7662
2018-12-01,151.1522
2019-01-01,152.7601
2019-02-01,153.0057
2019-03-01,154.5791
2019-04-01,157.1963
2019-05-01,158.6891
2019-06-01,158.7313
2019-07-01,160.8842
2019-08-01,162.2657
2019-09-01,163.8774
2019-10-01,167.1585
2019-11-01,167.7955
2019-12-01,169.0427
2020-01-01,171.326
2020-02-01,171.9285
2020-03-01,172.9109
2020-04-01,174.3884
2020-05-01,176.7638
2020-06-01,178.767
2020-07-01,179.8108
2020-08-01,181.365
2020-09-01,183.1303
2020-10-01,187.033
2020-11-01,191.331
2020-12-01,193.7218
2021-01-01,196.9799
2021-02-01,198.7682
2021-03-01,200.9057
2021-04-01,204.2788
2021-05-01,206.094
2021-06-01,210.0965
2021-07-01,213.888
2021-08-01,216.2826
2021-09-01,218.9919
2021-10-01,224.2339
2021-11-01,232.1085
2021-12-01,263.6184
2022-01-01,292.891
2022-02-01,306.9747
2022-03-01,323.7485
2022-04-01,347.2149
2022-05-01,357.5647
2022-06-01,375.271
2022-07-01,384.1472
2022-08-01,389.7577
2022-09-01,401.7461
2022-10-01,415.9871
2022-11-01,427.9832
2022-12-01,433.0449
2023-01-01,461.8378
2023-02-01,476.3628
2023-03-01,487.269
2023-04-01,498.8929
2023-05-01,499.1078
2023-06-01,518.6753
2023-07-01,567.8915
2023-08-01,619.4946
2023-09-01,648.9399
2023-10-01,671.2244
2023-11-01,693.2479
2023-12-01,713.5407
2024-01-01,761.3714999999999
2024-02-01,795.8555
2024-03-01,821.0258
2024-04-01,847.1323999999998
2024-05-01,875.6644
2024-06-01,890.0319999999998
2024-07-01,918.7405
2024-08-01,941.474
2024-09-01,969.4188
2024-10-01,997.3368
2024-11-01,1019.717
2024-12-01,1030.201
2025-01-01,1082.046
2025-02-01,1106.645
2025-03-01,1133.868
2025-04-01,1167.845
