Date,Is_Trading_Day,Session_Type,Note
2026-04-20,True,full,Regular session
2026-04-21,True,full,Regular session
2026-04-22,True,full,Regular session
2026-04-23,False,closed,National Sovereignty and Children's Day
2026-04-24,True,full,Regular session
2026-04-27,True,full,Regular session
2026-04-28,True,full,Regular session
2026-04-29,True,full,Regular session
2026-04-30,True,full,Regular session
2026-05-01,False,closed,Labour and Solidarity Day
2026-05-04,True,full,Regular session
2026-05-05,True,full,Regular session
2026-05-06,True,full,Regular session
2026-05-07,True,full,Regular session
2026-05-08,True,full,Regular session
2026-05-11,True,full,Regular session
2026-05-12,True,full,Regular session
2026-05-13,True,full,Regular session
2026-05-14,True,full,Regular session
2026-05-15,True,full,Regular session
2026-05-18,True,full,Regular session
2026-05-19,False,closed,Commemoration of Ataturk Youth and Sports Day
2026-05-20,True,full,Regular session
2026-05-21,True,full,Regular session
2026-05-22,True,full,Regular session
2026-05-25,True,full,Regular session
2026-05-26,True,full,Regular session
2026-05-27,True,full,Regular session
2026-05-28,True,full,Regular session
2026-05-29,True,full,Regular session
2026-06-01,True,full,Regular session
2026-06-02,True,full,Regular session
2026-06-03,True,full,Regular session
2026-06-04,True,full,Regular session
2026-06-05,True,full,Regular session
